[2026-02-12T19:32:43.814+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4246, completion-tokens, 285, total-tokens, 4531, cost-ms, 8671, requestId, , temperature, 0
[2026-02-12T19:32:54.970+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4818, completion-tokens, 271, total-tokens, 5089, cost-ms, 9182, requestId, , temperature, 0
[2026-02-12T19:33:12.361+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4276, completion-tokens, 207, total-tokens, 4483, cost-ms, 5516, requestId, , temperature, 0
[2026-02-12T19:33:19.136+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4786, completion-tokens, 191, total-tokens, 4977, cost-ms, 4823, requestId, , temperature, 0
[2026-02-12T19:33:33.369+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4285, completion-tokens, 261, total-tokens, 4546, cost-ms, 5206, requestId, , temperature, 0
[2026-02-12T19:33:38.848+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4832, completion-tokens, 167, total-tokens, 4999, cost-ms, 3554, requestId, , temperature, 0
[2026-02-12T19:33:45.658+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5007, completion-tokens, 167, total-tokens, 5174, cost-ms, 5043, requestId, , temperature, 0
[2026-02-12T19:33:57.333+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5182, completion-tokens, 307, total-tokens, 5489, cost-ms, 9935, requestId, , temperature, 0
[2026-02-12T19:34:03.065+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5370, completion-tokens, 131, total-tokens, 5501, cost-ms, 3946, requestId, , temperature, 0
[2026-02-12T19:34:07.777+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5501, completion-tokens, 130, total-tokens, 5631, cost-ms, 2944, requestId, , temperature, 0
[2026-02-12T19:34:13.306+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5632, completion-tokens, 132, total-tokens, 5764, cost-ms, 3755, requestId, , temperature, 0
[2026-02-12T19:34:19.511+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5763, completion-tokens, 131, total-tokens, 5894, cost-ms, 4441, requestId, , temperature, 0
[2026-02-12T19:34:31.226+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5894, completion-tokens, 131, total-tokens, 6025, cost-ms, 9932, requestId, , temperature, 0
[2026-02-12T19:34:36.242+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6025, completion-tokens, 129, total-tokens, 6154, cost-ms, 3202, requestId, , temperature, 0
[2026-02-12T19:34:41.466+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6156, completion-tokens, 124, total-tokens, 6280, cost-ms, 3418, requestId, , temperature, 0
[2026-02-12T19:34:47.084+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6287, completion-tokens, 129, total-tokens, 6416, cost-ms, 3843, requestId, , temperature, 0
[2026-02-12T19:34:51.514+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6418, completion-tokens, 129, total-tokens, 6547, cost-ms, 2619, requestId, , temperature, 0
[2026-02-12T19:34:58.872+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4282, completion-tokens, 353, total-tokens, 4635, cost-ms, 6551, requestId, , temperature, 0
