[2026-02-09T22:20:55.545+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:20:56.003+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:29:40.205+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:29:40.208+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:30:38.179+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:30:38.429+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:32:08.573+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:32:08.806+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:34:08.500+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:34:08.773+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:36:08.794+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:36:09.360+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:38:09.372+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:38:09.588+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:40:08.428+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:40:08.784+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:40:46.002+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:40:46.140+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:42:14.704+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:42:14.945+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:44:14.678+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T22:44:14.969+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:02:40.467+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:02:41.039+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:02:41.172+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:02:41.231+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:02:41.527+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:02:41.696+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:04:04.881+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:04:05.251+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:06:05.112+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:06:05.240+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:08:06.251+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:08:06.612+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:10:04.955+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:10:05.366+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:12:05.070+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:12:05.403+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:12:10.271+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:12:11.077+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:14:05.373+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:14:05.838+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:15:05.047+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:15:05.266+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:16:07.054+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:16:07.882+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:16:08.028+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:16:08.170+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:18:08.456+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:18:08.686+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:18:08.795+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:18:08.928+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:20:29.805+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:20:29.877+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:20:30.091+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:20:30.208+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:21:23.597+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:21:23.972+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:22:27.307+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:22:27.732+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:22:29.742+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:22:30.004+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:24:14.931+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:24:15.536+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:24:15.688+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:24:16.038+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:24:47.511+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:24:47.619+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:25:50.181+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:25:50.622+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:26:23.754+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:26:24.468+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:26:26.251+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:26:26.602+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:28:00.965+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:28:01.321+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:28:30.122+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:28:31.300+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:28:31.332+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
